Wed Apr 28 19:39:40 2021,106,0,0.87,-6.44,-4.83,-13.84,-16.6,-2.5,0
Wed Apr 28 19:39:41 2021,107,0,1.25,-6.51,-3.45,-6.11,6.33,26.31,0
Wed Apr 28 19:39:42 2021,108,0,2.14,-5.49,-4.11,-2.3,6.63,7.4,0
Wed Apr 28 19:39:43 2021,109,0,1.79,-5.17,-5.19,-0.42,-11.95,-22.54,0
Wed Apr 28 19:39:44 2021,110,0,0.77,-6.95,-5.23,-2.31,-16.48,-9.57,0
Wed Apr 28 19:39:45 2021,111,0,1.67,-6.11,-3.86,-19.85,8.77,17.86,0
Wed Apr 28 19:39:46 2021,112,0,2.33,-4.73,-4.82,9.77,1.45,-0.87,0
Wed Apr 28 19:39:47 2021,113,0,1.14,-6.8,-5.65,-3.21,-32.7,-18.6,0
Wed Apr 28 19:39:48 2021,114,0,1.28,-6.03,-4.42,-9.53,4.26,18.27,0
Wed Apr 28 19:39:49 2021,115,0,1.67,-6.28,-3.95,-3.57,7.55,16.6,0
Wed Apr 28 19:39:50 2021,116,0,1.9,-6.28,-3.81,-7.36,9.29,17.56,0
Wed Apr 28 19:39:51 2021,117,0,2.3,-5.53,-4.13,-0.31,11.6,14.41,0
Wed Apr 28 19:39:52 2021,118,0,1.9,-5.88,-4.79,1.06,-13.68,-23.91,0
Wed Apr 28 19:39:53 2021,119,0,1.04,-7.06,-4.39,-10.79,-23.47,-0.77,0
Wed Apr 28 19:39:54 2021,120,0,1.07,-6.2,-3.87,-21.16,-3.25,7.35,0
Wed Apr 28 19:39:55 2021,121,0,1.82,-6.42,-3.64,-4.11,-2.78,4,0
Wed Apr 28 19:39:57 2021,122,0,1.67,-6.45,-3.6,-7.92,-1.58,19.07,0
Wed Apr 28 19:39:58 2021,123,0,1.89,-6.73,-3.61,-6.11,2.11,26.69,0
Wed Apr 28 19:39:59 2021,124,0,1.67,-7.03,-3.32,-3.38,9.88,24.02,0
Wed Apr 28 19:40:00 2021,125,0,1.77,-6.3,-3.66,-4.86,9.63,20.17,0
Wed Apr 28 19:40:01 2021,126,0,2.27,-5.48,-4.45,2.65,9.42,-3.37,0
Wed Apr 28 19:40:02 2021,127,0,1.71,-5.82,-4.49,-7.77,-1.79,-16.03,0
Wed Apr 28 19:40:03 2021,128,0,1.64,-5.48,-5.12,-1.73,-11.46,-20.37,0
Wed Apr 28 19:40:04 2021,129,0,0.61,-5.96,-4.3,-6.82,-18.39,-25.41,0
Wed Apr 28 19:40:05 2021,130,0,0.66,-6.54,-3.92,-10.4,-5.38,1.4,0
Wed Apr 28 19:40:06 2021,131,0,1.66,-7.37,-2.7,-3.37,16.75,15.91,0
Wed Apr 28 19:40:07 2021,132,0,2.48,-6.39,-3.25,2.89,9,10.01,0
Wed Apr 28 19:40:08 2021,133,0,1.25,-6.55,-4.16,4.21,-36.5,-13.6,0
Wed Apr 28 19:40:09 2021,134,0,0.59,-6.83,-2.91,-10.82,2.72,4.95,0
Wed Apr 28 19:40:10 2021,135,0,1.83,-7.22,-2.42,-7.14,16.5,23.67,0
Wed Apr 28 19:40:11 2021,136,0,2.04,-6.39,-3.26,-5.81,13.69,5.32,0
Wed Apr 28 19:40:12 2021,137,0,2.21,-6.05,-4.69,2.21,-12.66,-17.07,0
Wed Apr 28 19:40:13 2021,138,0,0.19,-6.76,-4.11,-8.46,-22.65,-17.09,0
Wed Apr 28 19:40:14 2021,139,0,0.69,-6.97,-2.71,-23.82,6.54,0.71,0
Wed Apr 28 19:40:15 2021,140,0,1.91,-7.24,-2.7,-5.44,10.15,20.95,0
Wed Apr 28 19:40:16 2021,141,0,2.36,-6.19,-4.54,11.48,-4.44,-7.15,0
Wed Apr 28 19:40:17 2021,142,0,0.79,-6.72,-4.6,-9.71,-22.03,-26.44,0
Wed Apr 28 19:40:18 2021,143,0,1.21,-8.09,-2.28,-17.41,4.27,16.84,0
Wed Apr 28 19:40:19 2021,144,0,2.36,-7.66,-1.98,5.4,19.58,28.13,0
Wed Apr 28 19:40:20 2021,145,0,2.6,-6.59,-3.65,12.56,-4.54,-0.98,0
Wed Apr 28 19:40:21 2021,146,0,0.42,-7.79,-2.44,-15.99,-22.31,-14.47,0
Wed Apr 28 19:40:22 2021,147,0,1.14,-7.31,-1.47,-8.21,8.47,16.32,0
Wed Apr 28 19:40:23 2021,148,0,1.47,-7.42,-2.13,-6.63,17.46,18.16,0
Wed Apr 28 19:40:24 2021,149,0,2.26,-6.61,-3.29,14.79,-6.1,-9.77,0
Wed Apr 28 19:40:25 2021,150,0,0.12,-7.78,-2.74,-10.32,-29.55,-12.87,0
Wed Apr 28 19:40:26 2021,151,0,0.62,-7.67,-2.56,-49.86,-16.95,10.15,0
Wed Apr 28 19:40:27 2021,152,0,2.37,-6.98,-1.14,1.85,21.61,11.74,0
Wed Apr 28 19:40:29 2021,153,0,2.93,-6.84,-1.96,-13.42,19.34,10.32,0
Wed Apr 28 19:40:30 2021,154,0,2.59,-6.51,-2.83,-5.04,5.82,2.37,0
Wed Apr 28 19:40:31 2021,155,0,2.14,-7.65,-2.97,-10.16,-1.2,-9.25,0
Wed Apr 28 19:40:32 2021,156,0,1.62,-7.49,-2.34,1.75,-19.59,1.88,0
Wed Apr 28 19:40:33 2021,157,0,1.59,-7.49,-2.19,-2.37,-11.39,-5.41,0
Wed Apr 28 19:40:34 2021,158,0,1.55,1.7,-7.66,-25.11,-6.95,-1.95,1
Wed Apr 28 19:40:35 2021,159,0,1.3,-2.23,-7.34,-6.7,-25.65,1.26,1
Wed Apr 28 19:40:36 2021,160,0,0.75,-3.6,-7.33,-12.46,-4.05,11.89,1
Wed Apr 28 19:40:37 2021,161,0,1.2,1.19,-7.1,-5.62,-4.27,34.21,1
Wed Apr 28 19:40:38 2021,162,0,1.23,1.86,-6.99,0.35,-6.02,31.52,1
Wed Apr 28 19:40:39 2021,163,0,-0.35,3.77,-7.64,5.82,-2.18,8.76,1
Wed Apr 28 19:40:40 2021,164,0,0.71,3.52,-8.3,-16.53,-1.76,-6.89,1
Wed Apr 28 19:40:41 2021,165,0,1.4,2.79,-7.41,-13.73,-1.11,-27.95,1
Wed Apr 28 19:40:42 2021,166,0,0.97,2.19,-7.42,-20.29,-1.92,-25.81,1
Wed Apr 28 19:40:43 2021,167,0,0.98,-1.19,-6.89,-21.78,0.49,-25.48,1
Wed Apr 28 19:40:44 2021,168,0,0.74,-2,-7.34,2.86,-2.31,-5.32,1
Wed Apr 28 19:40:45 2021,169,0,0.78,-1.83,-6.83,1.16,-5.24,18.15,1
Wed Apr 28 19:40:46 2021,170,0,0.4,0.39,-6.25,7.71,-2.37,28.18,1
Wed Apr 28 19:40:47 2021,171,0,0.48,3.04,-6.85,15.17,1.53,12.13,1
Wed Apr 28 19:40:48 2021,172,0,0.56,3.66,-7.58,-1.8,-0.25,3.11,1
Wed Apr 28 19:40:49 2021,173,0,1.25,1.73,-7.25,-29.5,-0.89,-28.22,1
Wed Apr 28 19:40:50 2021,174,0,0.52,-2.86,-6.81,-10.27,2.06,-27.23,1
Wed Apr 28 19:40:51 2021,175,0,0.5,-2.92,-7.77,0.94,-1.66,6.88,1
Wed Apr 28 19:40:52 2021,176,0,0.95,0.85,-6.6,11.37,1.5,25.31,1
Wed Apr 28 19:40:53 2021,177,0,0.35,2.87,-7.07,11.72,-0.73,26.68,1
Wed Apr 28 19:40:54 2021,178,0,0.59,3.95,-8.14,0.47,-0.37,-2.77,1
Wed Apr 28 19:40:55 2021,179,0,1.41,2.55,-7.4,-20.92,0.38,-27.5,1
Wed Apr 28 19:40:56 2021,180,0,0.67,-0.5,-7.18,-27.12,-0.28,-30.09,1
Wed Apr 28 19:40:57 2021,181,0,0.73,-2.3,-7.22,7.53,-3.87,26.4,1
Wed Apr 28 19:40:58 2021,182,0,0.75,-0.44,-6.59,15.49,2.61,32.56,1
Wed Apr 28 19:40:59 2021,183,0,0.22,-0.53,-7.03,-56.67,-5.67,-20.7,1
Wed Apr 28 19:41:01 2021,184,0,-0.1,-2.43,-6.73,-20.02,-6.29,-17.95,1
Wed Apr 28 19:41:02 2021,185,0,-0.07,-3.21,-6.46,-8.96,-7.19,-8.72,1
Wed Apr 28 19:41:03 2021,186,0,0.23,-0.26,-7.39,15.5,-4.69,37.22,1
Wed Apr 28 19:41:04 2021,187,0,0.18,-2.6,-6.83,14.31,-3.05,-3.05,1
Wed Apr 28 19:41:05 2021,188,0,0.78,0.77,-7.38,-19.25,-2.46,-30.32,1
Wed Apr 28 19:41:06 2021,189,0,0.2,-0.83,-7.15,10.55,-4.37,40.75,1
Wed Apr 28 19:41:07 2021,190,0,0.18,-1.17,-7.06,-17.54,-2.07,-34.79,1
Wed Apr 28 19:41:08 2021,191,0,0.96,1.75,-8.2,-5.95,-1.24,-1.8,1
Wed Apr 28 19:41:09 2021,192,0,0.46,-1.97,-5.88,-0.27,-2.3,33.44,1
Wed Apr 28 19:41:10 2021,193,0,0.15,-2.58,-7.47,-18.87,-6.09,-25.91,1
Wed Apr 28 19:41:11 2021,194,0,0.69,0.31,-6.75,9.81,2.37,40.59,1
Wed Apr 28 19:41:12 2021,195,0,0.26,-1.57,-6.96,15.2,5.89,24.9,1
Wed Apr 28 19:41:13 2021,196,0,0.99,0.65,-7.26,28.16,2.53,27.92,1
Wed Apr 28 19:41:14 2021,197,0,0.62,-0.26,-6.78,12.66,-1.13,29.23,1
Wed Apr 28 19:41:15 2021,198,0,0.35,-2.26,-6.43,1.05,0.02,26.09,1
Wed Apr 28 19:41:16 2021,199,0,0.46,-2.04,-7.16,-31.26,-2.59,-34.04,1
Wed Apr 28 19:41:17 2021,200,0,0.42,1.08,-7.38,-38.97,-10.47,-22.95,1
Wed Apr 28 19:41:18 2021,201,0,0.88,1.32,-7.08,-30.05,-7.79,-30.02,1
Wed Apr 28 19:41:19 2021,202,0,0.62,-0.91,-6.94,-25.44,0.24,-27.08,1
Wed Apr 28 19:41:20 2021,203,0,0.51,-0.97,-6.78,-23.06,0.94,-34.01,1
Wed Apr 28 19:41:21 2021,204,0,0.42,2.86,-7.54,-4.34,1.73,-8.98,1
Wed Apr 28 19:41:22 2021,205,0,0.82,1.61,-7.44,3.45,-3.11,31.32,1
Wed Apr 28 19:41:23 2021,206,0,1.02,-2.16,-6.78,3.39,-3.23,28.98,1
Wed Apr 28 19:41:24 2021,207,0,0.94,-1.12,-7.55,-10.54,-9.13,-38.76,1
Wed Apr 28 19:41:25 2021,208,0,1.42,1.78,-7.71,-9.79,-4.78,-25.4,1
Wed Apr 28 19:41:26 2021,209,0,1.41,2.28,-7.65,-15.5,-2.95,-18.08,1
Wed Apr 28 19:41:27 2021,210,0,0.53,2.45,-7.06,1.5,-3.28,-2.6,1
Wed Apr 28 19:41:28 2021,211,0,1.16,1.74,-7.66,-21.37,-4.98,-20.55,1
Wed Apr 28 19:41:29 2021,212,0,1.03,0.51,-6.89,-13.02,-5.42,3.65,1
Wed Apr 28 19:41:30 2021,213,0,1.08,2.07,-7.48,-8.45,1.95,18.17,1
Wed Apr 28 19:41:31 2021,214,0,0.51,-2.52,-7.02,7.55,-4.26,-8.53,1
Wed Apr 28 19:41:33 2021,215,0,0.83,-1.71,-6.74,-20.4,-4.05,-19.85,1
Wed Apr 28 19:41:34 2021,216,0,1.13,1.66,-7.13,-17.11,-3.79,-29.11,1
Wed Apr 28 19:41:35 2021,217,0,1.29,0.95,-7.6,-8.18,-2.73,1.13,1
Wed Apr 28 19:41:36 2021,218,0,0.91,-2.11,-7.06,-10.77,-2.64,-14.63,1
Wed Apr 28 19:41:37 2021,219,0,0.7,0.49,-7.14,-23.89,-10.13,-26.97,1
Wed Apr 28 19:41:38 2021,220,0,0.89,2.08,-7.53,-12.21,-4.35,-4.59,1
Wed Apr 28 19:41:39 2021,221,0,0.68,1.2,-7.25,12.43,1.4,24.68,1
Wed Apr 28 19:41:40 2021,222,0,0.45,-0.47,-6.65,4.81,-2.34,23.31,1
Wed Apr 28 19:41:41 2021,223,0,0.82,-2,-7.65,-5.63,-2.84,2.38,1
Wed Apr 28 19:41:42 2021,224,0,0.72,-2.27,-6.62,-3.37,-5.91,-14.71,1
Wed Apr 28 19:41:43 2021,225,0,1.4,0.33,-6.69,-23.7,-1.58,-34.4,1
Wed Apr 28 19:41:44 2021,226,0,1.08,1.63,-7.54,-19.05,-5.36,-24.05,1
Wed Apr 28 19:41:45 2021,227,0,1.19,2.2,-7.94,0.6,0.27,9.58,1
